url_id,candidate,item,src_group,dest_group,domain,n_src,n_sink,per_lane,src_tiles,src_widths,sink_widths,offends
universe-matrix,no-proliferator,iron-ingot,iron-ingot#20,electric-motor#8,unsprayed,2,1,1,9,"[9, 12]","[24]",no
universe-matrix,no-proliferator,iron-ingot,iron-ingot#20,gear#13,unsprayed,1,1,1,9,"[9]","[12]",no
universe-matrix,no-proliferator,iron-ingot,iron-ingot#20,strange-matter#32,unsprayed,1,1,1,9,"[9]","[40]",no
universe-matrix,no-proliferator,magnet,magnet#21,magnetic-coil#22,unsprayed,2,2,1,9,"[9, 12]","[4, 8]",no
universe-matrix,no-proliferator,magnetic-coil,magnetic-coil#22,electric-motor#8,unsprayed,1,1,1,8,"[8]","[24]",no
universe-matrix,no-proliferator,magnetic-coil,magnetic-coil#22,electromagnetic-matrix#9,unsprayed,1,1,1,8,"[8]","[18]",no
universe-matrix,no-proliferator,magnetic-coil,magnetic-coil#22,electromagnetic-turbine#10,unsprayed,1,1,1,4,"[4]","[12]",no
universe-matrix,no-proliferator,microcrystalline-component,microcrystalline-component#24,processor#30,unsprayed,2,1,1,16,"[16, 16]","[24]",no
universe-matrix,no-proliferator,particle-broadband,particle-broadband#25,information-matrix#19,unsprayed,1,2,2,24,"[24]","[30, 30]",no
universe-matrix,no-proliferator,particle-container,particle-container#26,strange-matter#32,unsprayed,1,1,1,12,"[12]","[40]",no
universe-matrix,no-proliferator,plane-filter,plane-filter#27,quantum-chip#31,unsprayed,2,1,1,16,"[16, 16]","[8]",no
universe-matrix,no-proliferator,plastic,plastic#29,particle-broadband#25,unsprayed,1,1,1,16,"[16]","[24]",no
universe-matrix,no-proliferator,processor,processor#30,information-matrix#19,unsprayed,1,2,2,24,"[24]","[30, 30]",no
universe-matrix,no-proliferator,processor,processor#30,quantum-chip#31,unsprayed,1,1,1,24,"[24]","[8]",no
universe-matrix,no-proliferator,quantum-chip,quantum-chip#31,gravity-matrix#17,unsprayed,1,2,2,8,"[8]","[36, 36]",no
universe-matrix,no-proliferator,refined-oil,plasma-refining#28,plastic#29,unsprayed,2,1,1,14,"[14, 14]","[16]",no
universe-matrix,no-proliferator,strange-matter,strange-matter#32,graviton-lens#16,unsprayed,1,1,1,40,"[40]","[8]",no
universe-matrix,no-proliferator,structure-matrix,structure-matrix#33,universe-matrix#37,unsprayed,2,15,8,24,"[24, 24]","[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]",no
universe-matrix,no-proliferator,titanium-crystal,titanium-crystal#34,casimir-crystal#1,unsprayed,1,1,1,24,"[24]","[12]",no
universe-matrix,no-proliferator,titanium-crystal,titanium-crystal#34,structure-matrix#33,unsprayed,1,2,2,24,"[24]","[24, 24]",no
universe-matrix,no-proliferator,titanium-glass,titanium-glass#35,plane-filter#27,unsprayed,1,2,2,16,"[16]","[16, 16]",no
universe-matrix,no-proliferator,titanium-ingot,titanium-ingot#36,carbon-nanotube#0,unsprayed,2,1,1,12,"[12, 15]","[16]",no
universe-matrix,no-proliferator,titanium-ingot,titanium-ingot#36,titanium-crystal#34,unsprayed,2,1,1,12,"[12, 15]","[24]",no
universe-matrix,no-proliferator,titanium-ingot,titanium-ingot#36,titanium-glass#35,unsprayed,2,1,1,12,"[12, 15]","[16]",no
universe-matrix,all-products,antimatter,mass-energy-storage#23,universe-matrix#37,requires-spray,1,12,12,10,"[10]","[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]",YES
universe-matrix,all-products,carbon-nanotube,carbon-nanotube#0,particle-broadband#25,requires-spray,1,1,1,7,"[7]","[12]",no
universe-matrix,all-products,casimir-crystal,casimir-crystal#1,plane-filter#27,requires-spray,1,1,1,4,"[4]","[16]",no
universe-matrix,all-products,circuit-board,circuit-board#2,electromagnetic-matrix#9,requires-spray,1,1,1,4,"[4]","[12]",no
