         55355368 function calls (55275794 primitive calls) in 29.405 seconds

   Ordered by: cumulative time
   List reduced from 1383 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1600    0.008    0.000    1.312    0.001 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/finalize.py:751(_projected_power_verdict)
     1600    0.546    0.000    1.289    0.001 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/finalize.py:705(_projected_power_candidates)
       99    0.042    0.000    1.216    0.012 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:6079(_emit_strip)
       69    0.001    0.000    1.148    0.017 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/finalize.py:420(power_failure)
       69    0.001    0.000    1.145    0.017 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/finalize.py:323(power_failure)
     1085    0.067    0.000    1.072    0.001 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:15186(<genexpr>)
   172258    0.525    0.000    1.005    0.000 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:13500(_projected_power_peer_possible)
    67664    0.075    0.000    0.991    0.000 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/dsp/planet.py:625(pose)
316661/315367    0.462    0.000    0.899    0.000 {built-in method builtins.min}
       69    0.001    0.000    0.899    0.013 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/finalize.py:395(sorter_failure)
       69    0.000    0.000    0.895    0.013 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/finalize.py:294(sorter_failure)
       69    0.129    0.002    0.895    0.013 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/finalize.py:620(_projected_sorter_failure)
        3    0.089    0.030    0.855    0.285 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2/src/flab2bp/layout/freeform.py:5133(_prepared_junction_ban)
