         112591335 function calls (110385972 primitive calls) in 56.463 seconds

   Ordered by: internal time
   List reduced from 1631 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  1348245    0.307    0.000    0.438    0.000 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2-batch2/src/flab2bp/layout/sequence_pair.py:147(size)
   317891    0.284    0.000    0.510    0.000 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2-batch2/src/flab2bp/layout/finalize.py:3405(_resolve)
     1147    0.280    0.000    1.735    0.002 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2-batch2/src/flab2bp/layout/freeform.py:3306(_direct_net_candidates)
      523    0.276    0.001    1.066    0.002 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2-batch2/src/flab2bp/layout/finalize.py:3547(_remove_wave)
  1017083    0.268    0.000    0.268    0.000 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/fractions.py:996(__hash__)
      729    0.257    0.000    0.460    0.001 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2-batch2/src/flab2bp/layout/freeform.py:12739(_committed_path_closes_cycle)
   164497    0.253    0.000    0.523    0.000 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2-batch2/src/flab2bp/dsp/planet.py:436(_look_rotation)
      638    0.248    0.000    3.402    0.005 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2-batch2/src/flab2bp/layout/freeform.py:1413(_staged_static_relation_projection_risks_uncached)
   104825    0.243    0.000    0.620    0.000 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2-batch2/src/flab2bp/layout/freeform.py:5730(add)
  1436664    0.241    0.000    0.241    0.000 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2-batch2/src/flab2bp/layout/sequence_pair.py:46(<genexpr>)
    15448    0.239    0.000    0.552    0.000 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2-batch2/src/flab2bp/layout/sequence_pair.py:40(validate)
   112856    0.238    0.000    0.528    0.000 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2-batch2/src/flab2bp/dsp/colliders.py:1051(target_boxes)
   343776    0.236    0.000    0.307    0.000 /home/dannyb/.local/share/uv/python/cpython-3.14.7-linux-x86_64-gnu/lib/python3.14/numbers.py:317(__float__)
  1969984    0.235    0.000    0.235    0.000 {built-in method time.monotonic}
   844663    0.234    0.000    0.430    0.000 <frozen abc>:117(__instancecheck__)
   805428    0.230    0.000    0.338    0.000 <string>:22(__hash__)
    13051    0.230    0.000    2.869    0.000 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2-batch2/src/flab2bp/layout/freeform.py:9559(_can_junction)
    57247    0.229    0.000    2.049    0.000 /home/dannyb/sources/factorio-lab-to-blueprint/.claude/worktrees/speedups-2-batch2/src/flab2bp/layout/junction.py:246(make_splitter_stack)
  1158669    0.222    0.000    0.251    0.000 {method 'add' of 'set' objects}


