source	url_id	spec_label	strategy	budget_s	status_batch3	status_batch2	clean_rounds	refused_all_rounds	any_refusal	refusal_class	median_wall_s	median_wall_batch2_s	median_area	median_overshoot_s	median_alns_evaluations	median_budget_unspent_s	median_belt_tiles	median_direct_inserts	machines	groups	strips	recipes	distinct_items	max_ingredients_per_strip	mean_ingredients_per_strip	coaters	items_above_one_belt	both_fed_items	chain_depth	max_spread	sum_spread	max_consumers	items_with_3plus_consumers	proliferator_consumers	proliferator_span	proliferator_spread	max_live_range	sum_live_range	items_live_range_ge3	max_pressure	max_lane_pressure	sum_pressure	lane_pressure_per_strip	max_pressure_no_spray	max_lane_pressure_no_spray	proliferator_live_range
corpus	iron-ingot	no-proliferator	sequence-pair	30.0	CLEAN/CLEAN/CLEAN	CLEAN/CLEAN/CLEAN	3	0	0	clean	9.415	9.953	63.0	0.0	55.0	0.0	10.0	0.0	1	1	1	1	2	1	1.0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0
corpus	iron-ingot	output-products	freeform	30.0	CLEAN/CLEAN/CLEAN	CLEAN/CLEAN/CLEAN	3	0	0	clean	0.777	0.911	104.0	0.0	3.0	0.0	29.0	0.0	1	1	1	1	3	1	1.0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0.0	0	0	0
corpus	iron-ingot	output-products	sequence-pair	30.0	CLEAN/CLEAN/CLEAN	CLEAN/CLEAN/CLEAN	3	0	0	clean	20.956	22.696	104.0	0.0	55.0	0.0	29.0	0.0	1	1	1	1	3	1	1.0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0.0	0	0	0
corpus	magnetic-coil	all-products	freeform	30.0	CLEAN/CLEAN/CLEAN	CLEAN/CLEAN/CLEAN	3	0	0	clean	4.666	3.662	323.0	0.0	9.0	0.0	134.0	0.0	3	3	3	3	6	2	1.3333	4	0	0	1	0	0	1	0	4	1	4	1	3	0	3	3	3	1.0	2	2	1
corpus	magnetic-coil	all-products	sequence-pair	30.0	CLEAN/CLEAN/CLEAN	CLEAN/CLEAN/CLEAN	3	0	0	clean	30.513	30.672	342.0	0.0	60.0	0.0	136.0	0.0	3	3	3	3	6	2	1.3333	4	0	0	1	0	0	1	0	4	1	4	1	3	0	3	3	3	1.0	2	2	1
corpus	magnetic-coil	no-proliferator	freeform	30.0	CLEAN/CLEAN/CLEAN	CLEAN/CLEAN/CLEAN	3	0	0	clean	0.665	0.632	198.0	0.0	4.0	0.0	50.0	0.0	4	3	3	3	5	2	1.3333	0	0	0	1	0	0	1	0	0	0	0	1	2	0	2	2	2	0.6667	2	2	0
corpus	magnetic-coil	no-proliferator	sequence-pair	30.0	CLEAN/CLEAN/CLEAN	CLEAN/CLEAN/CLEAN	3	0	0	clean	19.768	20.8	230.0	0.0	77.0	0.0	51.0	0.0	4	3	3	3	5	2	1.3333	0	0	0	1	0	0	1	0	0	0	0	1	2	0	2	2	2	0.6667	2	2	0
corpus	magnetic-coil	output-products	freeform	30.0	CLEAN/CLEAN/CLEAN	CLEAN/CLEAN/CLEAN	3	0	0	clean	1.683	1.919	285.0	0.0	7.0	0.0	88.0	0.0	4	3	3	3	6	2	1.3333	2	0	0	1	0	0	1	0	2	0	0	1	3	0	3	3	3	1.0	2	2	1
corpus	magnetic-coil	output-products	sequence-pair	30.0	CLEAN/CLEAN/CLEAN	CLEAN/CLEAN/CLEAN	3	0	0	clean	30.577	30.562	299.0	0.0	69.0	0.0	102.0	0.0	4	3	3	3	6	2	1.3333	2	0	0	1	0	0	1	0	2	0	0	1	3	0	3	3	3	1.0	2	2	1
corpus	plastic	all-products	freeform	30.0	CLEAN/CLEAN/CLEAN	CLEAN/CLEAN/CLEAN	3	0	0	clean	6.377	6.419	850.0	0.0	7.0	0.0	264.0	0.0	8	3	3	3	7	2	1.3333	4	0	0	1	0	0	1	0	4	1	4	1	3	0	3	3	3	1.0	2	2	1
corpus	plastic	all-products	sequence-pair	30.0	CLEAN/CLEAN/CLEAN	CLEAN/CLEAN/CLEAN	3	0	0	clean	29.687	29.393	850.0	0.0	22.0	0.0	262.0	0.0	8	3	3	3	7	2	1.3333	4	0	0	1	0	0	1	0	4	1	4	1	3	0	3	3	3	1.0	2	2	1
corpus	plastic	no-proliferator	freeform	30.0	CLEAN/CLEAN/CLEAN	CLEAN/CLEAN/CLEAN	3	0	0	clean	1.758	1.86	760.0	0.0	7.0	0.0	198.0	0.0	9	3	3	3	6	2	1.3333	0	0	0	1	0	0	1	0	0	0	0	1	2	0	2	2	2	0.6667	2	2	0
corpus	plastic	no-proliferator	sequence-pair	30.0	CLEAN/CLEAN/CLEAN	CLEAN/CLEAN/CLEAN	3	0	0	clean	31.177	31.357	684.0	0.0	78.0	0.0	197.0	0.0	9	3	3	3	6	2	1.3333	0	0	0	1	0	0	1	0	0	0	0	1	2	0	2	2	2	0.6667	2	2	0
corpus	plastic	output-products	freeform	30.0	CLEAN/CLEAN/CLEAN	CLEAN/CLEAN/CLEAN	3	0	0	clean	4.42	5.479	800.0	0.0	6.0	0.0	256.0	0.0	9	3	3	3	7	2	1.3333	2	0	0	1	0	0	1	0	2	0	0	1	3	0	3	3	3	1.0	2	2	1
corpus	plastic	output-products	sequence-pair	30.0	CLEAN/CLEAN/CLEAN	CLEAN/CLEAN/CLEAN	3	0	0	clean	30.195	30.021	800.0	0.0	39.0	0.0	260.0	0.0	9	3	3	3	7	2	1.3333	2	0	0	1	0	0	1	0	2	0	0	1	3	0	3	3	3	1.0	2	2	1
corpus	processor	all-products	freeform	30.0	CLEAN/CLEAN/CLEAN	CLEAN/CLEAN/CLEAN	3	0	0	clean	12.128	11.598	918.0	0.0	10.0	0.0	551.0	0.0	16	6	6	6	10	2	1.5	8	0	0	2	0	0	2	0	8	2	16	2	7	0	4	4	7	0.6667	3	3	2
corpus	processor	all-products	sequence-pair	30.0	CLEAN/CLEAN/CLEAN	CLEAN/CLEAN/CLEAN	3	0	0	clean	29.026	28.667	918.0	0.0	9.0	0.0	516.0	0.0	16	6	6	6	10	2	1.5	8	0	0	2	0	0	2	0	8	2	16	2	7	0	4	4	7	0.6667	3	3	2
corpus	processor	no-proliferator	freeform	30.0	CLEAN/CLEAN/CLEAN	CLEAN/CLEAN/CLEAN	3	0	0	clean	4.703	5.741	810.0	0.0	12.0	0.0	271.0	0.0	21	6	7	6	9	2	1.4286	0	0	0	2	0	0	2	0	0	0	0	1	5	0	3	3	5	0.4286	3	3	0
corpus	processor	no-proliferator	sequence-pair	30.0	CLEAN/CLEAN/CLEAN	CLEAN/CLEAN/CLEAN	3	0	0	clean	31.173	31.095	810.0	0.0	55.0	0.0	297.0	0.0	21	6	7	6	9	2	1.4286	0	0	0	2	0	0	2	0	0	0	0	1	5	0	3	3	5	0.4286	3	3	0
corpus	processor	output-products	freeform	30.0	CLEAN/CLEAN/CLEAN	CLEAN/CLEAN/CLEAN	3	0	0	clean	6.709	7.665	896.0	0.0	10.0	0.0	372.0	0.0	20	6	7	6	10	2	1.4286	2	0	0	2	0	0	2	0	2	0	0	2	7	0	4	4	7	0.5714	3	3	2
corpus	processor	output-products	sequence-pair	30.0	CLEAN/CLEAN/CLEAN	CLEAN/CLEAN/CLEAN	3	0	0	clean	30.237	30.205	810.0	0.0	27.0	0.0	374.0	0.0	20	6	7	6	10	2	1.4286	2	0	0	2	0	0	2	0	2	0	0	2	7	0	4	4	7	0.5714	3	3	2
corpus	quantum-chip	all-products	freeform	30.0	CLEAN/CLEAN/CLEAN	CLEAN/CLEAN/CLEAN	3	0	0	clean	27.969	28.923	3825.0	0.0	11.0	2.793	2358.0	0.0	49	15	16	15	26	3	1.75	24	0	0	4	0	0	2	0	24	4	96	4	25	1	11	11	25	0.6875	10	10	4
